#{"t_start": 1780240542.622753, "env_id": "Walker2d-v4"}
r,l,t
316.870729,146,515.302184
352.502952,165,515.563397
319.570282,146,517.163933
392.69949,189,517.452522
339.883499,142,518.435156
346.634026,148,520.098458
420.05278,213,520.434912
414.034846,194,520.771659
291.087647,128,522.57478
359.792012,167,522.840255
326.940836,152,523.079432
335.074788,144,523.311853
321.031342,136,524.978567
394.678644,177,525.241096
377.045217,169,525.488695
284.332829,133,527.086383
369.168181,146,527.317633
261.069734,111,527.481902
381.803486,167,527.739098
339.851246,161,529.425017
393.847772,178,529.693509
241.898974,111,529.859864
274.479739,125,531.418756
321.487775,151,531.65046
471.331164,242,532.021245
366.014258,162,533.670537
310.538341,142,533.89178
319.997843,153,534.130996
344.990862,145,535.784147
328.831163,159,536.041738
353.643186,154,536.284078
365.259412,160,536.523578
404.429959,176,538.294098
306.466338,125,538.478811
383.972535,177,538.742592
334.587601,143,540.529155
403.272841,201,540.835261
399.868263,193,541.137888
279.074809,135,542.848638
307.196428,128,543.042627
372.613157,190,543.341063
324.039044,138,545.23159
392.224961,184,545.526215
245.089545,116,545.700695
376.970928,168,547.731161
353.119692,154,547.966219
361.267077,162,548.21407
416.469362,182,550.255383
409.122051,183,550.539263
346.480524,160,551.497967
276.617462,119,551.677754
379.91388,159,553.500278
395.061855,184,553.780702
335.090333,140,553.985553
433.441478,210,555.772485
348.776928,155,556.001163
362.491602,165,556.249569
388.346024,191,557.871444
412.518487,183,558.405735
341.66608,145,558.669649
352.505182,165,560.203583
319.409015,132,560.386146
357.940708,165,560.629271
372.926236,166,562.134448
386.730622,184,562.391162
327.475761,146,562.595846
397.572543,177,564.310527
366.161334,151,564.534806
408.834787,178,564.797594
367.945834,166,566.70665
367.818036,170,566.966346
222.554992,109,567.126929
372.204727,174,567.398024
216.492277,104,569.214513
389.333169,179,569.505736
396.227702,170,569.813005
331.90179,153,571.801105
366.453306,168,572.107313
398.07329,169,572.389654
443.637684,210,574.232499
396.384942,180,574.511753
364.017116,156,574.794108
428.020479,196,576.574556
310.432448,127,576.765359
326.257791,147,577.009923
392.333692,169,578.9845
350.864004,147,579.220447
536.267646,281,579.674382
381.605133,179,581.562819
393.147793,197,581.866239
397.966284,156,584.619254
358.922886,159,584.898586
359.698623,150,585.133931
368.208681,161,585.393174
357.986799,145,587.243367
344.293914,142,587.456774
469.581442,211,587.788619
431.994679,191,589.504993
397.670056,197,589.811973
401.38984,179,591.411029
410.56558,178,591.670636
357.350521,152,591.892492
343.512552,141,592.099292
408.36603,186,593.936954
364.377255,154,594.16251
322.360912,146,594.381002
415.017042,174,595.965385
366.760989,190,596.243098
376.120402,158,596.478476
292.614558,111,598.155474
413.26481,176,599.206074
422.926733,193,599.496662
366.122009,160,601.291276
400.105363,168,601.541949
417.249546,168,601.799459
503.711534,265,603.667092
243.998948,105,603.833017
478.01643,203,604.132619
374.392095,158,605.80645
366.396457,166,606.055018
419.740817,172,606.316229
440.937673,202,608.162509
444.191214,212,608.507825
402.147581,183,610.484717
279.37084,116,610.66706
328.893314,143,610.884863
380.185598,161,611.1611
459.443152,229,613.155136
370.678589,153,613.409702
380.313854,173,613.702927
440.198318,198,615.599917
398.347349,180,615.880532
361.80381,146,616.129747
443.916353,194,618.836691
481.222814,198,619.204897
268.33699,111,619.367136
378.532478,158,620.890363
310.41224,120,621.062742
383.954359,167,621.306283
373.121251,159,622.794605
315.282053,128,623.008429
440.55866,197,623.306332
416.820194,196,624.861179
458.870564,189,625.143601
325.853431,137,625.352449
427.825521,189,626.976696
376.58271,155,627.216305
417.961023,188,627.542151
372.636352,166,629.149344
428.659068,203,629.498208
369.183152,152,629.735546
440.314823,177,631.481433
331.010884,128,631.665663
445.099489,201,631.975611
423.806178,163,633.602471
299.060558,121,633.786885
400.190193,166,634.028265
430.204986,173,635.685384
414.501318,188,635.966703
233.389445,106,636.124516
331.244994,132,636.322484
418.943076,175,637.932669
407.792519,170,638.227889
317.00486,133,638.478054
438.708481,215,640.159002
277.142248,115,640.358279
464.67222,182,640.652651
395.274426,167,642.247095
473.00526,228,642.594073
407.421729,171,642.881537
381.828235,157,644.508021
298.857651,124,644.702765
393.583525,189,645.008618
366.171361,156,646.794884
467.911316,189,647.100779
357.23755,158,647.372979
424.987511,189,649.250762
323.496583,129,650.147698
446.231894,201,650.483541
374.215209,174,652.350002
425.963326,168,652.623007
403.814608,178,652.943408
400.361683,172,655.129022
405.759367,198,655.468603
389.722396,157,655.72523
342.689038,134,657.828492
390.157524,172,658.107053
423.845488,173,658.392326
217.328938,93,660.037178
392.278989,164,660.281129
417.408053,188,660.618295
408.612393,150,660.876462
436.557401,181,662.872375
411.889618,173,663.179806
409.974694,168,665.042455
360.311952,168,665.34476
423.820386,189,665.62418
442.572639,191,667.972437
439.325211,215,668.337853
422.10585,176,668.658867
413.65677,157,671.021464
378.112939,177,671.302659
396.762736,186,671.641784
406.029673,166,673.445362
348.866344,138,673.69691
345.483262,143,673.957816
350.378126,147,675.790611
403.588029,164,676.080316
560.576617,296,676.664574
461.779703,195,678.531857
403.858971,173,678.830538
360.739544,138,679.078023
441.570758,202,681.644962
309.431401,121,681.818608
399.813872,178,682.155008
352.674444,137,684.505232
383.246418,158,684.755825
471.34204,198,685.054632
356.179797,143,686.705765
382.781212,148,686.949244
364.311855,144,687.210441
426.37166,163,688.822247
368.750753,153,689.052722
397.627711,156,689.288711
414.212321,169,689.613752
267.810095,117,691.510632
328.317776,147,691.761764
283.563009,118,691.967217
370.733201,144,692.19741
281.88894,114,694.071408
447.944468,190,694.38376
455.046116,203,694.716865
359.075199,141,696.888529
447.777024,207,697.258524
322.376947,139,697.547504
321.347128,137,699.606562
412.764139,165,699.913132
368.105136,143,700.23653
449.358653,172,702.502867
395.811557,169,702.837819
384.406389,152,703.104094
368.47991,148,705.292751
499.180734,250,705.693281
499.870031,189,705.980194
488.303552,222,707.816638
423.598629,160,708.0592
262.649519,102,708.209137
431.994706,156,710.270713
405.052148,156,710.525862
338.662693,129,710.726243
459.61411,171,712.367781
486.00772,181,712.643872
323.742117,133,712.847467
479.839313,197,714.552172
389.298266,136,714.757229
383.443187,157,714.996957
405.07769,163,715.247781
441.922792,167,717.414743
432.686722,167,717.661053
331.072815,134,717.869028
424.135703,161,720.514047
433.520527,205,720.808043
381.586069,165,721.057667
336.865462,136,722.762186
452.577323,187,723.022583
465.319584,186,723.279301
414.541974,179,725.143798
378.671551,153,725.373595
359.701473,138,725.604059
360.618631,139,727.300578
440.464899,183,727.591363
394.260753,150,727.817039
474.590455,201,729.652511
323.51302,126,729.851494
461.170398,196,730.152054
434.301737,168,731.918578
441.141411,177,732.183898
386.647546,181,732.449221
409.699366,162,734.266254
426.886554,165,734.520096
410.742342,154,734.766893
398.965833,152,734.993454
366.823554,147,736.750221
394.418934,165,737.009925
411.547306,190,737.360354
311.243821,123,739.647444
415.972018,163,739.948689
412.11267,158,740.159972
450.292883,182,742.25143
405.146863,156,742.474018
378.473957,159,742.714874
435.733498,194,744.6581
511.567089,222,745.027153
437.06119,185,745.318169
329.237824,142,747.339471
437.844099,174,747.59403
416.768859,146,747.812888
401.225453,158,750.373421
384.203708,146,750.599472
