#{"t_start": 1780245470.2937655, "env_id": "Ant-v4"}
r,l,t
-24.275864,37,184.672332
1.085032,32,184.737859
-39.474679,44,184.852918
-39.922221,42,184.945709
-20.153676,33,184.997471
-30.080302,39,185.06983
-18.572264,13,185.090181
-31.758161,17,185.116884
-27.026174,20,185.148027
-14.117774,46,185.222804
-9.863561,25,185.277915
-24.287733,100,185.449162
-11.639327,14,185.471144
-56.897772,28,185.515585
-28.054268,65,185.624035
-25.380551,69,185.733217
-27.107256,37,185.826361
-25.721574,19,185.876067
-7.77866,39,185.97576
-62.644875,50,186.076367
-87.25246,68,186.217315
-9.904279,14,186.253145
-118.300021,128,186.525715
-27.795151,29,186.575096
-31.027001,45,186.64934
-961.046176,1000,190.501693
-22.415084,17,190.553927
-5.546986,25,190.619194
-12.93952,41,190.714202
-24.773409,46,190.802016
-72.796584,73,190.939167
5.592905,64,191.058939
-1.53922,34,191.121313
-9.07618,17,191.153161
-44.713707,42,191.229709
-175.732157,144,191.445227
-68.00329,71,191.562561
-31.05343,52,191.640274
6.903256,20,191.670022
-47.330336,61,191.805487
-8.712878,11,191.833267
-35.281438,43,191.939431
-29.123182,29,192.011892
-5.087769,10,192.03698
-41.993973,74,192.14533
-1.07393,34,192.223722
-129.135616,98,192.403123
-10.775833,14,192.432248
-8.920633,15,192.454412
-22.591487,50,192.560099
-19.368158,15,192.592054
-3.051543,43,192.662559
13.771577,45,192.738926
14.797295,51,192.868883
-19.279785,29,192.920148
-13.920373,28,192.960196
-11.695188,16,192.982935
-805.578771,1000,196.984361
-58.328696,84,197.156967
-56.985938,56,197.268488
-37.928387,29,197.332662
-30.958621,14,197.354784
-25.073905,33,197.404473
-49.735303,50,197.481585
-13.430394,11,197.501228
-2.18488,19,197.550105
-17.557343,12,197.580682
-7.299186,13,197.613862
-11.06556,12,197.645101
-15.472715,14,197.681403
-57.720741,60,197.785176
-26.80811,45,197.901164
-39.738927,55,198.008126
-47.74318,27,198.059423
-24.482209,21,198.11277
-85.609996,88,198.252383
-14.887628,16,198.277612
-10.20668,23,198.31318
-36.374997,36,198.38105
-53.292839,73,198.496101
-2.72402,40,198.558366
-59.806396,94,198.776409
-24.215005,27,198.840979
-0.105127,31,198.910227
-57.480037,88,199.110504
-19.11997,24,199.150212
-10.424275,14,199.185487
-62.01638,60,199.312722
-118.507271,99,199.562518
-45.418737,20,201.209493
-19.255282,38,201.270807
4.291867,19,201.306711
-58.378493,72,201.459957
-58.67833,47,201.544329
-3.139872,10,201.55964
-22.21398,30,201.620219
-18.639034,53,201.708444
-682.438508,1000,205.860387
-6.277961,13,205.887117
-57.754575,42,205.959857
-16.305468,31,206.009603
-2.333526,12,206.031594
-9.661826,15,206.068501
-16.480707,11,206.096782
-33.618704,50,206.225046
-1.149587,21,206.278168
-39.397373,45,206.375734
-22.882346,21,206.410539
-1.849173,18,206.439637
-29.523996,20,206.472615
-91.059273,71,206.61875
-834.877923,1000,210.096553
-14.455013,34,210.151916
-16.365485,13,210.172778
-13.496907,14,210.195344
-10.107838,13,210.216157
-57.753735,74,210.360826
-15.664149,25,210.400179
7.393826,28,210.45851
-38.818586,42,210.546295
-5.668944,23,210.605793
-25.928037,29,210.680888
-14.34998,20,210.715552
-14.577459,77,210.893686
-34.01303,55,211.027808
1.460987,18,211.073878
-28.108834,16,211.11469
-0.639168,29,211.16406
-12.882287,23,211.202292
11.712451,49,211.285329
-180.599157,190,211.706004
-10.014266,31,211.765168
-33.899061,58,211.889033
-28.480335,44,211.972544
-20.308475,35,212.032332
-23.063593,33,212.08647
-22.252054,44,212.158421
-23.430408,37,212.23964
-19.6542,28,212.295117
-45.058722,52,212.377276
